Module Name: KeyGenMeC:\Users\16481\Desktop\KeyGenMe.exe Module Base 00400000
SectionNumber: 00000001   SectionVirtualAddress: 00401000
SectionNumber: 00000002   SectionVirtualAddress: 00500000
SectionNumber: 00000003   SectionVirtualAddress: 00524000
SectionNumber: 00000004   SectionVirtualAddress: 00549000
seg:offset: 0001:00001FD0  Address: 00402fd0  symbol£º_krnln_fnLeft
seg:offset: 0001:00001FE6  Address: 00402fe6  symbol£ºloc_402FE6
seg:offset: 0001:00001FFC  Address: 00402ffc  symbol£ºloc_402FFC
seg:offset: 0001:00002010  Address: 00403010  symbol£º_krnln_fnRight
seg:offset: 0001:00002028  Address: 00403028  symbol£ºloc_403028
seg:offset: 0001:0000203E  Address: 0040303e  symbol£ºloc_40303E
seg:offset: 0001:00002060  Address: 00403060  symbol£º_krnln_fnMid
seg:offset: 0001:00002090  Address: 00403090  symbol£ºloc_403090
seg:offset: 0001:000020A5  Address: 004030a5  symbol£ºloc_4030A5
seg:offset: 0001:000020C0  Address: 004030c0  symbol£º_krnln_fnChr
seg:offset: 0001:000020F0  Address: 004030f0  symbol£º_krnln_fnAsc
seg:offset: 0001:00002103  Address: 00403103  symbol£ºloc_403103
seg:offset: 0001:00002107  Address: 00403107  symbol£ºloc_403107
seg:offset: 0001:00002132  Address: 00403132  symbol£ºloc_403132
seg:offset: 0001:00002147  Address: 00403147  symbol£ºloc_403147
seg:offset: 0001:00002160  Address: 00403160  symbol£ºkrnln_?SearchText@@YAXPAUMDATA_INF@@H0H@Z
seg:offset: 0001:0000219F  Address: 0040319f  symbol£ºloc_40319F
seg:offset: 0001:000021AD  Address: 004031ad  symbol£ºloc_4031AD
seg:offset: 0001:000021CA  Address: 004031ca  symbol£ºloc_4031CA
seg:offset: 0001:000021D4  Address: 004031d4  symbol£ºloc_4031D4
seg:offset: 0001:000021DE  Address: 004031de  symbol£ºloc_4031DE
seg:offset: 0001:000021E6  Address: 004031e6  symbol£ºloc_4031E6
seg:offset: 0001:000021EA  Address: 004031ea  symbol£ºloc_4031EA
seg:offset: 0001:0000221E  Address: 0040321e  symbol£ºloc_40321E
seg:offset: 0001:00002222  Address: 00403222  symbol£ºloc_403222
seg:offset: 0001:0000224F  Address: 0040324f  symbol£ºloc_40324F
seg:offset: 0001:0000226E  Address: 0040326e  symbol£ºloc_40326E
seg:offset: 0001:00002276  Address: 00403276  symbol£ºloc_403276
seg:offset: 0001:00002285  Address: 00403285  symbol£ºloc_403285
seg:offset: 0001:0000228F  Address: 0040328f  symbol£ºloc_40328F
seg:offset: 0001:0000229D  Address: 0040329d  symbol£ºloc_40329D
seg:offset: 0001:000022AB  Address: 004032ab  symbol£ºloc_4032AB
seg:offset: 0001:000022C0  Address: 004032c0  symbol£º_krnln_fnInStr
seg:offset: 0001:000022E0  Address: 004032e0  symbol£º_krnln_fnInStrRev
seg:offset: 0001:00002300  Address: 00403300  symbol£º_krnln_fnCompQuickCode
seg:offset: 0001:00002325  Address: 00403325  symbol£ºloc_403325
seg:offset: 0001:00002339  Address: 00403339  symbol£ºloc_403339
seg:offset: 0001:0000233E  Address: 0040333e  symbol£ºloc_40333E
seg:offset: 0001:00002345  Address: 00403345  symbol£ºloc_403345
seg:offset: 0001:00002347  Address: 00403347  symbol£ºloc_403347
seg:offset: 0001:00002376  Address: 00403376  symbol£ºloc_403376
seg:offset: 0001:00002380  Address: 00403380  symbol£ºloc_403380
seg:offset: 0001:000023C9  Address: 004033c9  symbol£ºloc_4033C9
seg:offset: 0001:000023CF  Address: 004033cf  symbol£ºloc_4033CF
seg:offset: 0001:000023E0  Address: 004033e0  symbol£ºloc_4033E0
seg:offset: 0001:000023E5  Address: 004033e5  symbol£ºloc_4033E5
seg:offset: 0001:000023FE  Address: 004033fe  symbol£ºloc_4033FE
seg:offset: 0001:00002402  Address: 00403402  symbol£ºloc_403402
seg:offset: 0001:0000240E  Address: 0040340e  symbol£ºloc_40340E
seg:offset: 0001:00002420  Address: 00403420  symbol£ºkrnln_?ConvertText@@YAXPAUMDATA_INF@@H0H@Z
seg:offset: 0001:00002464  Address: 00403464  symbol£ºloc_403464
seg:offset: 0001:00002490  Address: 00403490  symbol£ºloc_403490
seg:offset: 0001:000024A1  Address: 004034a1  symbol£ºloc_4034A1
seg:offset: 0001:000024AE  Address: 004034ae  symbol£ºloc_4034AE
seg:offset: 0001:000024B8  Address: 004034b8  symbol£ºloc_4034B8
seg:offset: 0001:000024E0  Address: 004034e0  symbol£ºloc_4034E0
seg:offset: 0001:000024F1  Address: 004034f1  symbol£ºloc_4034F1
seg:offset: 0001:000024FE  Address: 004034fe  symbol£ºloc_4034FE
seg:offset: 0001:00002508  Address: 00403508  symbol£ºloc_403508
seg:offset: 0001:00002518  Address: 00403518  symbol£ºloc_403518
seg:offset: 0001:00002528  Address: 00403528  symbol£ºloc_403528
seg:offset: 0001:00002570  Address: 00403570  symbol£ºoff_403570
seg:offset: 0001:00002580  Address: 00403580  symbol£ºunknown_libname_338
seg:offset: 0001:00002590  Address: 00403590  symbol£º_krnln_fnUCase
